Transcript stable ID version,Gene stable ID version,Gene name,Gene type,Gene description
ENST00000433427.1,ENSG00000234159.1,RBPMSLP,processed_pseudogene,RNA binding protein with multiple splicing-like pseudogene [Source:HGNC Symbol;Acc:HGNC:9923]
ENST00000282964.5,ENSG00000229336.1,SREK1IP1P1,processed_pseudogene,SREK1IP1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54504]
ENST00000623954.1,ENSG00000279062.1,CDRT15P8,unprocessed_pseudogene,CDRT15 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:54916]
ENST00000623297.1,ENSG00000280179.1,,lncRNA,novel transcript
ENST00000624872.1,ENSG00000280179.1,,lncRNA,novel transcript
ENST00000661484.1,ENSG00000287066.1,,lncRNA,novel transcript
ENST00000671206.1,ENSG00000224141.6,MIR548XHG,lncRNA,MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006]
ENST00000355189.7,ENSG00000224141.6,MIR548XHG,lncRNA,MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006]
ENST00000414582.1,ENSG00000224141.6,MIR548XHG,lncRNA,MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006]
ENST00000653218.1,ENSG00000224141.6,MIR548XHG,lncRNA,MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006]
ENST00000437492.6,ENSG00000224141.6,MIR548XHG,lncRNA,MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006]
ENST00000656413.1,ENSG00000224141.6,MIR548XHG,lncRNA,MIR548X host gene [Source:HGNC Symbol;Acc:HGNC:52006]
ENST00000425091.1,ENSG00000233676.2,FDPSP6,processed_pseudogene,farnesyl diphosphate synthase pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:3637]
ENST00000445481.1,ENSG00000226580.1,RPL39P40,processed_pseudogene,ribosomal protein L39 pseudogene 40 [Source:HGNC Symbol;Acc:HGNC:35823]
ENST00000450653.2,ENSG00000235965.2,,lncRNA,novel transcript
ENST00000452500.1,ENSG00000227075.1,,lncRNA,novel transcript
ENST00000433383.1,ENSG00000225735.1,NEK4P1,processed_pseudogene,NIMA-related kinase 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39649]
ENST00000440372.1,ENSG00000232193.1,,lncRNA,novel transcript
ENST00000662613.1,ENSG00000288094.1,,lncRNA,novel transcript
ENST00000425058.1,ENSG00000226771.1,,lncRNA,novel transcript
ENST00000433312.1,ENSG00000224860.1,GXYLT1P2,processed_pseudogene,GXYLT1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39677]
ENST00000358455.4,ENSG00000198618.5,PPIAP22,processed_pseudogene,peptidylprolyl isomerase A pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:17236]
ENST00000413933.1,ENSG00000226818.1,SLC6A6P1,processed_pseudogene,solute carrier family 6 member 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:11053]
ENST00000431297.1,ENSG00000229231.1,FEM1AP1,processed_pseudogene,fem-1 homolog A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:17219]
ENST00000612610.4,ENSG00000277117.5,,protein_coding,"novel protein, similar to inducible T-cell co-stimulator ligand ICOSLG"
ENST00000623960.4,ENSG00000277117.5,,protein_coding,"novel protein, similar to inducible T-cell co-stimulator ligand ICOSLG"
ENST00000623903.3,ENSG00000277117.5,,protein_coding,"novel protein, similar to inducible T-cell co-stimulator ligand ICOSLG"
ENST00000623795.1,ENSG00000277117.5,,protein_coding,"novel protein, similar to inducible T-cell co-stimulator ligand ICOSLG"
ENST00000620481.4,ENSG00000277117.5,,protein_coding,"novel protein, similar to inducible T-cell co-stimulator ligand ICOSLG"
ENST00000623188.1,ENSG00000279687.1,,lncRNA,"novel transcript, antisense to CH507-9B2.3"
ENST00000624906.1,ENSG00000279177.1,CTBP2P9,processed_pseudogene,CTBP2 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:54511]
ENST00000651312.1,ENSG00000286033.1,,lncRNA,novel transcript
ENST00000433524.1,ENSG00000234340.1,,processed_pseudogene,phosphoglycerate kinase 1 (PGK1) pseudogene
ENST00000623928.1,ENSG00000280013.1,,processed_pseudogene,heat shock transcription factor 2 binding protein (HSF2BP) pseudogene
ENST00000447175.1,ENSG00000231755.1,CHODL-AS1,lncRNA,CHODL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1279]
ENST00000262354.5,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000665559.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000653972.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000661065.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000664912.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000656174.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000655729.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000654898.1,ENSG00000228592.2,D21S2088E,lncRNA,D21S2088E [Source:NCBI gene (formerly Entrezgene);Acc:266917]
ENST00000425085.1,ENSG00000237569.1,TUBAP1,processed_pseudogene,tubulin alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12411]
ENST00000651830.1,ENSG00000286155.1,,TEC,TEC
ENST00000623723.1,ENSG00000279064.1,,lncRNA,novel transcript
ENST00000284885.8,ENSG00000154646.9,TMPRSS15,protein_coding,transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490]
ENST00000422787.1,ENSG00000154646.9,TMPRSS15,protein_coding,transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490]
ENST00000474775.1,ENSG00000154646.9,TMPRSS15,protein_coding,transmembrane serine protease 15 [Source:HGNC Symbol;Acc:HGNC:9490]
ENST00000619242.1,ENSG00000275592.1,VN1R7P,processed_pseudogene,vomeronasal 1 receptor 7 pseudogene [Source:HGNC Symbol;Acc:HGNC:8496]
ENST00000406845.1,ENSG00000219368.3,ZNF299P,processed_pseudogene,"zinc finger protein 299, pseudogene [Source:HGNC Symbol;Acc:HGNC:13088]"
ENST00000623983.1,ENSG00000280095.1,,lncRNA,novel transcript
ENST00000673790.1,ENSG00000288578.1,,lncRNA,novel transcript
ENST00000623374.1,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000624633.3,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000623190.1,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000623637.1,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000623783.1,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000625005.3,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000623797.3,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000623643.1,ENSG00000277991.4,,lncRNA,novel transcript
ENST00000623352.1,ENSG00000279390.1,,TEC,TEC
ENST00000673788.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000660772.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000660333.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000665066.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000670675.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000674136.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000454128.3,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000654377.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000455253.6,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000658213.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000655631.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000661285.1,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000435315.2,ENSG00000232884.9,,lncRNA,novel transcript
ENST00000635845.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667152.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000619222.4,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000658644.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000660908.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000656642.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000456342.6,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000419952.6,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000657710.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000445461.7,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667703.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000602339.5,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000602892.5,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000418813.6,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000435697.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000453910.5,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000663933.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000441820.5,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000602659.2,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000602323.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000665230.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000664445.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000656690.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000665504.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000670980.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000652938.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000658826.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000665282.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000664910.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000671437.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000662279.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000659105.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000655524.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667804.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000656619.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000665779.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000428669.7,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000660532.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000655197.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000662647.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000657060.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000671218.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000669307.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667011.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000665189.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000660455.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000660213.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000661987.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000661403.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000659192.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000664030.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000665243.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000660287.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000652811.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000661771.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000664485.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000670446.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000657977.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000663516.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000602901.6,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000670108.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000666704.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000666517.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000671666.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667401.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000657177.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000654245.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000654560.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000663776.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667869.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000666794.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000659483.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000657520.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000668571.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000667777.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000661418.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000654176.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000602620.2,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000670888.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000658518.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000669537.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
ENST00000661939.1,ENSG00000215386.13,MIR99AHG,lncRNA,mir-99a-let-7c cluster host gene [Source:HGNC Symbol;Acc:HGNC:1274]
